#Mon,#Tue,#Wed,#Tur,#Fri,#Sat,#Sun,#post,#visitors
1,0,0,0,0,0,0,89,10667663
0,1,0,0,0,0,0,79,9795429
0,0,1,0,0,0,0,85,8975079
0,0,0,1,0,0,0,89,8538411
0,0,0,0,1,0,0,68,8529152
0,0,0,0,0,1,0,64,8025010
0,0,0,0,0,0,1,78,8234844
1,0,0,0,0,0,0,83,8427326
0,1,0,0,0,0,0,84,8531230
0,0,1,0,0,0,0,74,7528524
0,0,0,1,0,0,0,66,7344510
0,0,0,0,1,0,0,68,7226934
0,0,0,0,0,1,0,63,7409710
0,0,0,0,0,0,1,65,7189586
1,0,0,0,0,0,0,59,7807852
0,1,0,0,0,0,0,65,8841093
0,0,1,0,0,0,0,72,7413674
0,0,0,1,0,0,0,79,6643237
0,0,0,0,1,0,0,58,7883447
0,0,0,0,0,1,0,58,7480000
0,0,0,0,0,0,1,67,7942285
1,0,0,0,0,0,0,68,7106077
0,1,0,0,0,0,0,52,7331398
0,0,1,0,0,0,0,63,5833055
0,0,0,1,0,0,0,74,6332500
0,0,0,0,1,0,0,55,7202550
0,0,0,0,0,1,0,55,6889139
0,0,0,0,0,0,1,65,6270795
1,0,0,0,0,0,0,59,6626983
0,1,0,0,0,0,0,72,7222520
0,0,1,0,0,0,0,68,6824810
0,0,0,1,0,0,0,66,7179764
0,0,0,0,1,0,0,62,7008552
0,0,0,0,0,1,0,59,6434905
0,0,0,0,0,0,1,78,7184696
1,0,0,0,0,0,0,62,7579445
0,1,0,0,0,0,0,52,6590154
0,0,1,0,0,0,0,60,7305813
0,0,0,1,0,0,0,72,7680463
0,0,0,0,1,0,0,63,8385452
0,0,0,0,0,1,0,51,7939475
0,0,0,0,0,0,1,64,7137518
1,0,0,0,0,0,0,62,7736883
0,1,0,0,0,0,0,59,7736883
0,0,1,0,0,0,0,75,7736883
0,0,0,1,0,0,0,65,7879875
0,0,0,0,1,0,0,79,8201943
0,0,0,0,0,1,0,80,9954346
0,0,0,0,0,0,1,70,9940606
1,0,0,0,0,0,0,75,10065859
0,1,0,0,0,0,0,77,10331774
0,0,1,0,0,0,0,68,11525245
0,0,0,1,0,0,0,68,12201566
0,0,0,0,1,0,0,73,12356482
0,0,0,0,0,1,0,61,16723674
0,0,0,0,0,0,1,76,13514938
1,0,0,0,0,0,0,69,13903255
0,1,0,0,0,0,0,69,14155521
0,0,1,0,0,0,0,92,11386021
0,0,0,1,0,0,0,96,10756842
0,0,0,0,1,0,0,92,11869680
0,0,0,0,0,1,0,98,12643882
0,0,0,0,0,0,1,82,12042150
1,0,0,0,0,0,0,68,11109418
0,1,0,0,0,0,0,68,8975511
0,0,1,0,0,0,0,91,9295745
0,0,0,1,0,0,0,104,10014063
0,0,0,0,1,0,0,80,11808580
0,0,0,0,0,1,0,103,10557400
0,0,0,0,0,0,1,112,10238354
1,0,0,0,0,0,0,88,9334895
0,1,0,0,0,0,0,91,7891178
0,0,1,0,0,0,0,107,8228735
0,0,0,1,0,0,0,113,8343118
0,0,0,0,1,0,0,85,8868030
0,0,0,0,0,1,0,86,10918133
0,0,0,0,0,0,1,91,9981884
1,0,0,0,0,0,0,61,11132022
0,1,0,0,0,0,0,64,8615068
0,0,1,0,0,0,0,87,7902235
0,0,0,1,0,0,0,74,8679278
0,0,0,0,1,0,0,63,8389334
0,0,0,0,0,1,0,75,7589763
0,0,0,0,0,0,1,67,8741427
1,0,0,0,0,0,0,95,7986384
0,1,0,0,0,0,0,77,9465182
0,0,1,0,0,0,0,110,9185856
0,0,0,1,0,0,0,50,8868879
0,0,0,0,1,0,0,97,7470381
0,0,0,0,0,1,0,72,8355966
0,0,0,0,0,0,1,75,7944055
1,0,0,0,0,0,0,75,8932626
0,1,0,0,0,0,0,73,10420985
0,0,1,0,0,0,0,55,9391961
0,0,0,1,0,0,0,56,9169298
0,0,0,0,1,0,0,61,8441074
0,0,0,0,0,1,0,85,8875739
0,0,0,0,0,0,1,77,9243241
1,0,0,0,0,0,0,61,8434018
0,1,0,0,0,0,0,65,9474662
0,0,1,0,0,0,0,77,8777153
0,0,0,1,0,0,0,66,11886897
0,0,0,0,1,0,0,69,11043403
0,0,0,0,0,1,0,58,12108744
0,0,0,0,0,0,1,75,12617423
1,0,0,0,0,0,0,57,11724070
0,1,0,0,0,0,0,73,11260648
0,0,1,0,0,0,0,73,10503711
0,0,0,1,0,0,0,82,11252407
0,0,0,0,1,0,0,79,9816832
0,0,0,0,0,1,0,61,10257980
0,0,0,0,0,0,1,82,8745811
1,0,0,0,0,0,0,90,10419285
0,1,0,0,0,0,0,70,10363847
0,0,1,0,0,0,0,66,9717495
0,0,0,1,0,0,0,81,9926434
0,0,0,0,1,0,0,86,10696013
0,0,0,0,0,1,0,69,10152454
0,0,0,0,0,0,1,69,10399998
1,0,0,0,0,0,0,79,10469891
0,1,0,0,0,0,0,68,10451605
0,0,1,0,0,0,0,78,9676915
0,0,0,1,0,0,0,86,8885295
0,0,0,0,1,0,0,63,9652046
0,0,0,0,0,1,0,58,8911628
0,0,0,0,0,0,1,59,8462299
1,0,0,0,0,0,0,76,8614720
0,1,0,0,0,0,0,77,8754166
0,0,1,0,0,0,0,74,8276273
0,0,0,1,0,0,0,66,8498128
0,0,0,0,1,0,0,89,7772536
0,0,0,0,0,1,0,77,8659354
0,0,0,0,0,0,1,75,9898497
1,0,0,0,0,0,0,91,10237487
0,1,0,0,0,0,0,96,11343777
0,0,1,0,0,0,0,93,11175517
0,0,0,1,0,0,0,65,10815419
0,0,0,0,1,0,0,83,9550483
0,0,0,0,0,1,0,59,8796122
0,0,0,0,0,0,1,67,7941164
1,0,0,0,0,0,0,79,8155079
0,1,0,0,0,0,0,82,8891264
0,0,1,0,0,0,0,89,8447154
0,0,0,1,0,0,0,67,7874104
0,0,0,0,1,0,0,86,8286250
0,0,0,0,0,1,0,63,8039350
0,0,0,0,0,0,1,64,7724046
1,0,0,0,0,0,0,71,7276144
0,1,0,0,0,0,0,70,7233925
0,0,1,0,0,0,0,61,6720478
0,0,0,1,0,0,0,45,6405283
